code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected,failure_reason,buy_date,buy_price,exit_date_3d,return_3d,mae_3d,exit_date_5d,return_5d,mae_5d,exit_date_8d,return_8d,mae_8d
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,51.90158242947703,51.90158242947703,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_wyckoff_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2104,002104.SZ,恒宝股份,通信设备,20230103,7.74,61.73661100583588,61.73661100583588,0.0,2.63,4.5525,4831.24,6.295399515738493,weak_momentum,BULL_TREND,69.75313997587888,100.0,48.3124,80.0,89.39364066507912,66.66666666666666,0.0,65.56685717572564,0.0,1,1,E_ablate_accel_vr1.2,True,,20230104.0,7.73,20230106.0,0.1293661060802087,-0.6468305304010435,20230110.0,1.5523932729624823,-0.6468305304010435,20230113.0,7.89133247089262,-0.6468305304010435
2181,002181.SZ,粤传媒,出版业,20230103,5.72,53.15144249174227,53.15144249174227,0.0,1.47,7.5351,7487.44,13.725490196078432,weak_momentum,BULL_TREND,27.790807753081985,85.62091503267973,74.8744,100.0,56.96520946496285,33.33333333333333,0.0,66.79647625631543,0.0,2,2,E_ablate_accel_vr1.2,True,,20230104.0,5.72,20230106.0,-2.7972027972028024,-3.4965034965035,20230110.0,-0.8741258741258751,-5.069930069930074,20230113.0,-8.56643356643355,-9.615384615384617
2334,002334.SZ,英威腾,电气设备,20230103,8.3,48.3299205231548,48.3299205231548,0.0,1.43,4.7499,5568.19,10.944206008583686,weak_momentum,BULL_TREND,25.800757350183236,100.0,55.6819,80.0,57.08890126562783,33.33333333333333,0.0,54.71375376077648,0.0,3,3,E_ablate_accel_vr1.2,True,,20230104.0,8.41,20230106.0,5.826397146254458,-1.7835909631391256,20230110.0,6.777645659928666,-1.7835909631391256,20230113.0,8.680142687277058,-1.7835909631391256
600266,600266.SH,城建发展,区域地产,20230104,4.91,73.25523328930907,67.45098765245137,5.804245636857707,3.1,3.5649,10052.03,11.531531531531526,weak_momentum,BULL_TREND,81.61341077497565,100.0,100.0,80.0,58.04245636857706,33.33333333333333,0.0,72.239606095012,0.0,1,1,A_recovered_proxy_vr1.5,True,,20230105.0,4.98,20230109.0,-9.839357429718875,-10.040160642570283,20230111.0,-12.851405622489976,-13.855421686746991,20230116.0,-12.851405622489976,-15.26104417670684
2649,002649.SZ,博彦科技,软件服务,20230104,11.05,57.91222716133508,57.91222716133508,0.0,3.25,3.7043,4096.18,6.829679595278236,weak_momentum,BULL_TREND,85.02198590705461,100.0,40.9618,40.0,43.3710236319934,63.33333333333333,0.0,94.08990042540806,0.0,2,2,A_recovered_proxy_vr1.5,True,,20230105.0,11.05,20230109.0,0.1809954751131215,-0.4524886877828149,20230111.0,-0.9954751131221796,-1.176470588235301,20230116.0,0.6334841628959031,-1.3574660633484226
600095,600095.SH,湘财股份,证券,20230104,7.93,55.56699329786669,55.56699329786669,0.0,2.49,5.3918,5107.54,10.3954802259887,weak_momentum,BULL_TREND,65.80728711466783,100.0,51.0754,100.0,39.5722292244569,33.33333333333333,0.0,79.33218120220874,0.0,3,3,A_recovered_proxy_vr1.5,True,t1_limit_up,,,,,,,,,,,
600266,600266.SH,城建发展,区域地产,20230104,4.91,67.45098765245137,67.45098765245137,0.0,3.1,3.5649,10052.03,11.531531531531526,weak_momentum,BULL_TREND,81.61341077497565,100.0,100.0,80.0,58.04245636857706,33.33333333333333,0.0,72.239606095012,0.0,1,1,B_pure_quant_vr1.5,True,,20230105.0,4.98,20230109.0,-9.839357429718875,-10.040160642570283,20230111.0,-12.851405622489976,-13.855421686746991,20230116.0,-12.851405622489976,-15.26104417670684
2649,002649.SZ,博彦科技,软件服务,20230104,11.05,57.91222716133508,57.91222716133508,0.0,3.25,3.7043,4096.18,6.829679595278236,weak_momentum,BULL_TREND,85.02198590705461,100.0,40.9618,40.0,43.3710236319934,63.33333333333333,0.0,94.08990042540806,0.0,2,2,B_pure_quant_vr1.5,True,,20230105.0,11.05,20230109.0,0.1809954751131215,-0.4524886877828149,20230111.0,-0.9954751131221796,-1.176470588235301,20230116.0,0.6334841628959031,-1.3574660633484226
600095,600095.SH,湘财股份,证券,20230104,7.93,55.56699329786669,55.56699329786669,0.0,2.49,5.3918,5107.54,10.3954802259887,weak_momentum,BULL_TREND,65.80728711466783,100.0,51.0754,100.0,39.5722292244569,33.33333333333333,0.0,79.33218120220874,0.0,3,3,B_pure_quant_vr1.5,True,t1_limit_up,,,,,,,,,,,
