variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.5,2023,3,216,214,214,43.925233644859816,-0.4333938224593855,-0.6135350745731405,0.9835488364886728,-24.819686041578283,-46.670090618232585,-49.38583326916623
A_recovered_proxy_vr1.5,2023,5,216,214,214,38.31775700934579,-1.0954681517042026,-1.5954309722953308,0.9913501728705069,-27.70470937632584,-73.27079373464306,-73.67939306608801
A_recovered_proxy_vr1.5,2023,8,216,214,214,36.44859813084112,-1.5932170652036137,-2.4976620286505042,0.9384713496375171,-33.92023759015699,-81.67160304306708,-83.3002849504775
A_recovered_proxy_vr1.5,2024,3,340,331,331,46.82779456193353,-0.1280501634393337,-0.5548705302096169,1.0553819345750937,-17.650214592274683,-24.950436943371823,-53.5320182179281
A_recovered_proxy_vr1.5,2024,5,340,331,327,41.896024464831804,-0.49173342163400474,-0.8005822416302766,1.1237333652719466,-22.088920254057875,-51.835827410371735,-74.48801062435781
A_recovered_proxy_vr1.5,2024,8,340,331,318,37.10691823899371,-0.3605653752897713,-2.192383495454253,1.4986960819513495,-27.311220889202534,-40.73335594017752,-81.19369388141979
A_recovered_proxy_vr1.5,2025,3,479,465,461,47.071583514099785,-0.08070953415636029,-0.2802428771601972,1.056783144422818,-22.915717539863312,-11.842234291318398,-49.07758139617041
A_recovered_proxy_vr1.5,2025,5,479,465,457,47.04595185995623,0.38060263467246813,-0.2928257686676483,1.301688913843465,-30.615034168564915,75.61783018840755,-65.43165392770712
A_recovered_proxy_vr1.5,2025,8,479,465,452,46.017699115044245,0.5439821608509571,-0.37465725453591503,1.360955595256456,-32.38434163701067,113.73377582151068,-76.1946722034654
A_recovered_proxy_vr1.5,2026,3,215,211,207,42.028985507246375,-0.6160588665600181,-0.7462686567163979,1.0048907694543736,-18.68446139180172,-37.49908065307851,-50.280698737683124
A_recovered_proxy_vr1.5,2026,5,215,211,201,39.30348258706468,-0.7830592471901469,-1.9002375296912175,1.1434061312365038,-20.110573600552872,-47.88561249986367,-64.95427564422974
A_recovered_proxy_vr1.5,2026,8,215,211,195,38.97435897435898,-0.1947701010161505,-2.187902187902191,1.4756499203620224,-26.73378076062639,-34.07656148060959,-69.78204272361668
A_recovered_proxy_vr1.5,all,3,1250,1221,1213,45.589447650453415,-0.2472070591333337,-0.4879000780640075,1.0333286814246345,-24.819686041578283,-77.9470854751788,-81.76788219663469
A_recovered_proxy_vr1.5,all,5,1250,1221,1199,42.78565471226022,-0.3158352943944291,-0.8163265306122436,1.165790747287675,-30.615034168564915,-88.21752813919032,-94.75146131958118
A_recovered_proxy_vr1.5,all,8,1250,1221,1179,40.71246819338422,-0.21010048709858972,-1.4768624876928094,1.3421330860042255,-33.92023759015699,-84.69448919301425,-97.14556451512514
B_pure_quant_vr1.5,2023,3,204,202,202,46.03960396039604,-0.42409894146582733,-0.3841806418697413,0.9083244127036946,-24.819686041578283,-36.698185221564664,-40.29544944550846
B_pure_quant_vr1.5,2023,5,204,202,202,40.099009900990104,-1.1427079943717438,-1.5954309722953308,0.9019760085274707,-27.70470937632584,-69.56007559429193,-71.26611652472694
B_pure_quant_vr1.5,2023,8,204,202,202,37.62376237623762,-1.5747121575786354,-2.4062953101869677,0.8954903545592354,-33.92023759015699,-75.97246519727642,-79.435199310073
B_pure_quant_vr1.5,2024,3,332,323,323,45.82043343653251,-0.21260748422606066,-0.6629834254143652,1.0434865529971769,-17.650214592274683,-22.211480755131607,-53.87252364081381
B_pure_quant_vr1.5,2024,5,332,323,319,41.692789968652036,-0.4966607890417672,-0.8328375966686341,1.1335002862534984,-22.088920254057875,-43.32185540020106,-71.76428055871747
B_pure_quant_vr1.5,2024,8,332,323,310,37.74193548387097,-0.5724707672474475,-2.0592429848905303,1.364935546216249,-27.311220889202534,-51.44482761010032,-82.16151259597318
B_pure_quant_vr1.5,2025,3,463,451,447,45.86129753914989,-0.13827391053088076,-0.4587155963302836,1.069424469695576,-22.915717539863312,-24.47691314900241,-47.79734944050462
B_pure_quant_vr1.5,2025,5,463,451,444,45.4954954954955,-0.09218563463145309,-0.5998330765279947,1.1424650001830228,-30.615034168564915,-24.115223569581744,-70.18693127155903
B_pure_quant_vr1.5,2025,8,463,451,439,44.874715261959,0.0557075796510764,-0.5599104143336975,1.224965989312291,-30.615034168564915,-24.44149518871388,-78.98890163708867
B_pure_quant_vr1.5,2026,3,209,204,200,43.5,-0.4797144612654517,-0.7035167590393243,1.011901405319519,-18.68446139180172,-38.768756623529754,-48.200660970684496
B_pure_quant_vr1.5,2026,5,209,204,194,40.20618556701031,-0.6056495812085196,-1.4018589584069985,1.168953148370413,-20.110573600552872,-47.04093005312991,-64.76833049473227
B_pure_quant_vr1.5,2026,8,209,204,190,37.368421052631575,-0.48424407196634545,-2.1708741708741703,1.460336642500869,-26.73378076062639,-55.04181052708805,-72.49731577627315
B_pure_quant_vr1.5,all,3,1208,1180,1172,45.477815699658706,-0.26628970464292556,-0.5365818548241919,1.0226654874681356,-24.819686041578283,-77.22887557848975,-78.95947457121714
B_pure_quant_vr1.5,all,5,1208,1180,1159,42.62295081967213,-0.4725524133720742,-0.9297520661156966,1.0992031588706777,-30.615034168564915,-93.06647313018718,-94.24676380726503
B_pure_quant_vr1.5,all,8,1208,1180,1141,40.40315512708151,-0.49352194556036477,-1.5566835871404394,1.2411572388469414,-33.92023759015699,-96.03688309047584,-97.35800696108451
A_recovered_proxy_vr1.2,2023,3,225,221,221,47.511312217194565,-0.3089311468534289,-0.2298850574712574,0.9052056371132083,-24.819686041578283,-33.04291154601111,-37.881309359529766
