code,ts_code,name,industry,select_date,close,score,score_base,news_proxy_boost,volume_ratio,turnover,main_net_inflow,drawdown_from_high,market_style,regime,factor_volume_ratio,factor_drawdown,factor_inflow,factor_turnover,factor_sector,factor_pattern,factor_counter_trend,factor_wyckoff,factor_accel,pre_threshold_rank,candidate_rank,variant,selected
690,000690.SZ,宝新能源,火力发电,20240223,5.15,70.60505629747713,63.19592731442796,7.4091289830491665,1.88,4.8067,12286.94,0.0,momentum,BULL_PULLBACK_OVERRIDE,45.53663309514563,100.0,100.0,80.0,74.09128983049166,33.33333333333333,0.0,58.80507717391116,0.0,1,1,A_recovered_proxy_vr1.5,True
39,000039.SZ,中集集团,运输设备,20240301,9.44,79.21580447575144,69.56498350681308,9.65082096893836,2.26,3.3234,17216.34,0.6315789473684263,momentum,BEAR_BOUNCE,58.81613863202314,100.0,100.0,80.0,96.5082096893836,33.33333333333333,0.0,57.74254107466226,0.0,1,1,A_recovered_proxy_vr1.5,True
600089,600089.SH,特变电工,电气设备,20240306,16.38,77.20564246293647,68.86966626971245,8.335976193224019,2.57,3.3737,51902.57,2.2673031026253136,momentum,BULL_TREND,68.08841797095766,100.0,100.0,65.0,83.35976193224019,30.0,0.0,72.34451187620769,0.0,1,1,A_recovered_proxy_vr1.5,True
600522,600522.SH,中天科技,通信设备,20240306,13.91,75.27694598865037,65.84476064229324,9.432185346357134,1.79,3.8497,47488.27,1.1371712864250187,momentum,BULL_TREND,41.99797937447659,100.0,100.0,80.0,94.32185346357132,33.33333333333333,0.0,50.14026376740816,0.0,2,2,A_recovered_proxy_vr1.5,True
600487,600487.SH,亨通光电,通信设备,20240306,12.86,74.35638696349857,64.92420161714143,9.432185346357134,1.66,4.2851,22563.8,1.757066462948819,momentum,BULL_TREND,36.55916207861,100.0,100.0,80.0,94.32185346357132,20.0,0.0,55.75956612635669,0.0,3,3,A_recovered_proxy_vr1.5,True
600089,600089.SH,特变电工,电气设备,20240306,16.38,68.86966626971245,68.86966626971245,0.0,2.57,3.3737,51902.57,2.2673031026253136,momentum,BULL_TREND,68.08841797095766,100.0,100.0,65.0,83.35976193224019,30.0,0.0,72.34451187620769,0.0,1,1,B_pure_quant_vr1.5,True
600522,600522.SH,中天科技,通信设备,20240306,13.91,65.84476064229324,65.84476064229324,0.0,1.79,3.8497,47488.27,1.1371712864250187,momentum,BULL_TREND,41.99797937447659,100.0,100.0,80.0,94.32185346357132,33.33333333333333,0.0,50.14026376740816,0.0,2,2,B_pure_quant_vr1.5,True
600487,600487.SH,亨通光电,通信设备,20240306,12.86,64.92420161714143,64.92420161714143,0.0,1.66,4.2851,22563.8,1.757066462948819,momentum,BULL_TREND,36.55916207861,100.0,100.0,80.0,94.32185346357132,20.0,0.0,55.75956612635669,0.0,3,3,B_pure_quant_vr1.5,True
600089,600089.SH,特变电工,电气设备,20240306,16.38,78.61001801265574,69.80591663619197,8.804101376463777,2.57,3.3737,51902.57,2.2673031026253136,momentum,BULL_TREND,68.08841797095766,100.0,100.0,65.0,88.04101376463777,30.0,0.0,72.34451187620769,0.0,1,1,A_recovered_proxy_vr1.2,True
600522,600522.SH,中天科技,通信设备,20240306,13.91,73.89428373296792,64.9229858051716,8.97129792779632,1.79,3.8497,47488.27,1.1371712864250187,momentum,BULL_TREND,41.99797937447659,100.0,100.0,80.0,89.7129792779632,33.33333333333333,0.0,50.14026376740816,0.0,2,2,A_recovered_proxy_vr1.2,True
