variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.2,all,5,478,468,461,45.98698481561822,0.19348792326016526,-0.5461165048543659,1.261259004384815,-30.615034168564915,15.590788732749195,-68.39636371100453
A_recovered_proxy_vr1.2,all,8,478,468,455,45.05494505494506,0.2697013253063566,-0.47348484848485084,1.3020220956199327,-30.615034168564915,21.961750997142147,-77.98998742248898
D_pure_quant_vr1.2,2025,3,458,448,444,44.5945945945946,-0.16808602716091559,-0.5185820184590795,1.1010221916080118,-22.915717539863312,-20.787084454808046,-49.33922029338626
D_pure_quant_vr1.2,2025,5,458,448,441,45.3514739229025,-0.03482946956465049,-0.7214554579673793,1.182510130162945,-33.46341463414634,-7.735556086368578,-66.87425490642806
D_pure_quant_vr1.2,2025,8,458,448,436,45.18348623853211,0.21015681662680608,-0.4772727272727373,1.268919311760996,-33.46341463414634,17.35552688002624,-72.7719507428073
D_pure_quant_vr1.2,all,3,458,448,444,44.5945945945946,-0.16808602716091559,-0.5185820184590795,1.1010221916080118,-22.915717539863312,-20.787084454808046,-49.33922029338626
D_pure_quant_vr1.2,all,5,458,448,441,45.3514739229025,-0.03482946956465049,-0.7214554579673793,1.182510130162945,-33.46341463414634,-7.735556086368578,-66.87425490642806
D_pure_quant_vr1.2,all,8,458,448,436,45.18348623853211,0.21015681662680608,-0.4772727272727373,1.268919311760996,-33.46341463414634,17.35552688002624,-72.7719507428073
E_ablate_sector_vr1.2,2025,3,389,379,378,43.386243386243386,-0.26177499042319663,-0.5913686199888746,1.1088715802785685,-22.915717539863312,-38.41953559669857,-50.82155703893439
E_ablate_sector_vr1.2,2025,5,389,379,378,42.857142857142854,-0.3057199327583814,-0.832039647673094,1.1562275179704065,-33.46341463414634,-56.77891415122427,-70.18575779105328
E_ablate_sector_vr1.2,2025,8,389,379,378,45.767195767195766,0.07264483407710434,-0.5180965147453143,1.184137327368144,-33.46341463414634,-15.028071866963744,-74.13469305752281
E_ablate_sector_vr1.2,all,3,389,379,378,43.386243386243386,-0.26177499042319663,-0.5913686199888746,1.1088715802785685,-22.915717539863312,-38.41953559669857,-50.82155703893439
E_ablate_sector_vr1.2,all,5,389,379,378,42.857142857142854,-0.3057199327583814,-0.832039647673094,1.1562275179704065,-33.46341463414634,-56.77891415122427,-70.18575779105328
E_ablate_sector_vr1.2,all,8,389,379,378,45.767195767195766,0.07264483407710434,-0.5180965147453143,1.184137327368144,-33.46341463414634,-15.028071866963744,-74.13469305752281
E_ablate_inflow_vr1.2,2025,3,359,350,350,43.714285714285715,-0.4486828936350748,-0.6010928961748596,0.9835261756465986,-19.193989071038253,-46.73645702195067,-57.67714383298601
E_ablate_inflow_vr1.2,2025,5,359,350,350,42.857142857142854,-0.13007492044908733,-0.8301041935761644,1.244455870230467,-33.46341463414634,-28.25560727793901,-69.28322265327134
E_ablate_inflow_vr1.2,2025,8,359,350,350,46.285714285714285,0.1309734815247302,-0.40894306903788147,1.1834615949678835,-33.46341463414634,-19.033873565086168,-73.98925933723457
E_ablate_inflow_vr1.2,all,3,359,350,350,43.714285714285715,-0.4486828936350748,-0.6010928961748596,0.9835261756465986,-19.193989071038253,-46.73645702195067,-57.67714383298601
E_ablate_inflow_vr1.2,all,5,359,350,350,42.857142857142854,-0.13007492044908733,-0.8301041935761644,1.244455870230467,-33.46341463414634,-28.25560727793901,-69.28322265327134
E_ablate_inflow_vr1.2,all,8,359,350,350,46.285714285714285,0.1309734815247302,-0.40894306903788147,1.1834615949678835,-33.46341463414634,-19.033873565086168,-73.98925933723457
E_ablate_wyckoff_vr1.2,2025,3,398,392,392,45.91836734693878,-0.12309284924337238,-0.4453405195474269,1.080756585383617,-19.193989071038253,-26.436064178959604,-51.00621447733303
E_ablate_wyckoff_vr1.2,2025,5,398,392,390,45.12820512820513,0.08222937304312788,-0.5694444444444446,1.2441406587585346,-33.46341463414634,-18.987435471667126,-69.56664320902752
E_ablate_wyckoff_vr1.2,2025,8,398,392,390,44.1025641025641,0.07582291085787547,-0.7124270342499406,1.2667226097952125,-33.46341463414634,-28.24938068976417,-81.92829067911286
E_ablate_wyckoff_vr1.2,all,3,398,392,392,45.91836734693878,-0.12309284924337238,-0.4453405195474269,1.080756585383617,-19.193989071038253,-26.436064178959604,-51.00621447733303
E_ablate_wyckoff_vr1.2,all,5,398,392,390,45.12820512820513,0.08222937304312788,-0.5694444444444446,1.2441406587585346,-33.46341463414634,-18.987435471667126,-69.56664320902752
E_ablate_wyckoff_vr1.2,all,8,398,392,390,44.1025641025641,0.07582291085787547,-0.7124270342499406,1.2667226097952125,-33.46341463414634,-28.24938068976417,-81.92829067911286
E_ablate_accel_vr1.2,2025,3,457,447,443,44.46952595936794,-0.19764868164618773,-0.5326231691078598,1.0864231734888896,-22.915717539863312,-23.00324692946749,-49.94244209873219
E_ablate_accel_vr1.2,2025,5,457,447,440,45.45454545454545,-0.05431448537289258,-0.7134614150507035,1.1677166561540977,-33.46341463414634,-7.798764790819268,-67.33593379024562
E_ablate_accel_vr1.2,2025,8,457,447,435,45.28735632183908,0.2601742437724406,-0.454545454545463,1.2839505890622143,-33.46341463414634,26.415041831410612,-73.1580454601704
E_ablate_accel_vr1.2,all,3,457,447,443,44.46952595936794,-0.19764868164618773,-0.5326231691078598,1.0864231734888896,-22.915717539863312,-23.00324692946749,-49.94244209873219
E_ablate_accel_vr1.2,all,5,457,447,440,45.45454545454545,-0.05431448537289258,-0.7134614150507035,1.1677166561540977,-33.46341463414634,-7.798764790819268,-67.33593379024562
E_ablate_accel_vr1.2,all,8,457,447,435,45.28735632183908,0.2601742437724406,-0.454545454545463,1.2839505890622143,-33.46341463414634,26.415041831410612,-73.1580454601704
