variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.2,2026,5,92,86,76,46.05263157894737,-0.0857208281310268,-1.5847701149425242,1.1396591589509997,-18.23708206686929,0.9616674742137121,-25.503879474699353
A_recovered_proxy_vr1.2,2026,8,92,86,70,47.14285714285714,1.2095944424011065,-0.40163811385968695,1.4671399553885822,-19.42078364565587,28.661975723480282,-24.04494875806895
A_recovered_proxy_vr1.2,all,3,92,86,82,41.46341463414634,0.24431345641738295,-0.8690152370132542,1.5641226463357218,-17.831813576494426,9.901008316330696,-18.98833475275098
A_recovered_proxy_vr1.2,all,5,92,86,76,46.05263157894737,-0.0857208281310268,-1.5847701149425242,1.1396591589509997,-18.23708206686929,0.9616674742137121,-25.503879474699353
A_recovered_proxy_vr1.2,all,8,92,86,70,47.14285714285714,1.2095944424011065,-0.40163811385968695,1.4671399553885822,-19.42078364565587,28.661975723480282,-24.04494875806895
D_pure_quant_vr1.2,2026,3,85,79,75,45.33333333333333,0.3015270729189019,-0.8595988538681931,1.3764205807973469,-15.212527964205814,15.938626629472452,-13.912947167818047
D_pure_quant_vr1.2,2026,5,85,79,69,47.82608695652174,-0.10265026810535059,-0.7729468599033784,1.05720917980608,-17.059161401493395,-0.23844024458159474,-23.090159051964754
D_pure_quant_vr1.2,2026,8,85,79,63,41.269841269841265,0.4555478072334051,-0.7407407407407418,1.5441074690382055,-26.73378076062639,-2.1671291031767126,-19.42095675951503
D_pure_quant_vr1.2,all,3,85,79,75,45.33333333333333,0.3015270729189019,-0.8595988538681931,1.3764205807973469,-15.212527964205814,15.938626629472452,-13.912947167818047
D_pure_quant_vr1.2,all,5,85,79,69,47.82608695652174,-0.10265026810535059,-0.7729468599033784,1.05720917980608,-17.059161401493395,-0.23844024458159474,-23.090159051964754
D_pure_quant_vr1.2,all,8,85,79,63,41.269841269841265,0.4555478072334051,-0.7407407407407418,1.5441074690382055,-26.73378076062639,-2.1671291031767126,-19.42095675951503
E_ablate_sector_vr1.2,2026,3,61,56,53,43.39622641509434,-0.05495347188604378,-1.1029411764705954,1.2709961747703447,-14.054054054054054,-3.9398089411631587,-11.739157934497857
E_ablate_sector_vr1.2,2026,5,61,56,47,44.680851063829785,0.7029945572731862,-0.6819590824550525,1.6130758685168443,-13.940149625935172,10.779028154115466,-18.35670144711723
E_ablate_sector_vr1.2,2026,8,61,56,44,38.63636363636363,-0.02514816381691025,-1.4229438381687498,1.5780752727495087,-16.7713567839196,-8.39484456116153,-27.97416228686155
E_ablate_sector_vr1.2,all,3,61,56,53,43.39622641509434,-0.05495347188604378,-1.1029411764705954,1.2709961747703447,-14.054054054054054,-3.9398089411631587,-11.739157934497857
E_ablate_sector_vr1.2,all,5,61,56,47,44.680851063829785,0.7029945572731862,-0.6819590824550525,1.6130758685168443,-13.940149625935172,10.779028154115466,-18.35670144711723
