variant,period,horizon_days,signal_count,trade_count,matured_trade_count,win_rate_pct,avg_return_pct,median_return_pct,profit_loss_ratio,worst_mae_pct,cumulative_cohort_return_pct,max_equal_weight_drawdown_pct
A_recovered_proxy_vr1.5,2023,3,216,214,214,43.925233644859816,-0.43339382245938557,-0.6135350745731405,0.9835488364886728,-24.819686041578283,-46.67009061823257,-49.38583326916623
A_recovered_proxy_vr1.5,2023,5,216,214,214,38.31775700934579,-1.095468151704203,-1.5954309722953308,0.9913501728705069,-27.70470937632584,-73.27079373464306,-73.67939306608801
A_recovered_proxy_vr1.5,2023,8,216,214,214,36.44859813084112,-1.5932170652036137,-2.4976620286505047,0.9384713496375171,-33.92023759015699,-81.67160304306708,-83.3002849504775
A_recovered_proxy_vr1.5,all,3,216,214,214,43.925233644859816,-0.43339382245938557,-0.6135350745731405,0.9835488364886728,-24.819686041578283,-46.67009061823257,-49.38583326916623
A_recovered_proxy_vr1.5,all,5,216,214,214,38.31775700934579,-1.095468151704203,-1.5954309722953308,0.9913501728705069,-27.70470937632584,-73.27079373464306,-73.67939306608801
A_recovered_proxy_vr1.5,all,8,216,214,214,36.44859813084112,-1.5932170652036137,-2.4976620286505047,0.9384713496375171,-33.92023759015699,-81.67160304306708,-83.3002849504775
B_pure_quant_vr1.5,2023,3,204,202,202,46.03960396039604,-0.42409894146582733,-0.3841806418697413,0.9083244127036946,-24.819686041578283,-36.69818522156465,-40.295449445508446
B_pure_quant_vr1.5,2023,5,204,202,202,40.099009900990104,-1.142707994371744,-1.5954309722953308,0.9019760085274707,-27.70470937632584,-69.56007559429193,-71.26611652472694
B_pure_quant_vr1.5,2023,8,204,202,202,37.62376237623762,-1.5747121575786354,-2.4062953101869677,0.8954903545592354,-33.92023759015699,-75.97246519727643,-79.43519931007302
B_pure_quant_vr1.5,all,3,204,202,202,46.03960396039604,-0.42409894146582733,-0.3841806418697413,0.9083244127036946,-24.819686041578283,-36.69818522156465,-40.295449445508446
B_pure_quant_vr1.5,all,5,204,202,202,40.099009900990104,-1.142707994371744,-1.5954309722953308,0.9019760085274707,-27.70470937632584,-69.56007559429193,-71.26611652472694
B_pure_quant_vr1.5,all,8,204,202,202,37.62376237623762,-1.5747121575786354,-2.4062953101869677,0.8954903545592354,-33.92023759015699,-75.97246519727643,-79.43519931007302
A_recovered_proxy_vr1.2,2023,3,225,221,221,47.511312217194565,-0.3089311468534288,-0.22988505747125743,0.9052056371132083,-24.819686041578283,-33.04291154601111,-37.881309359529766
A_recovered_proxy_vr1.2,2023,5,225,221,221,39.81900452488688,-0.8026001844053058,-1.1789851075565183,1.057939653238639,-27.70470937632584,-55.77714019858866,-57.578294697262386
A_recovered_proxy_vr1.2,2023,8,225,221,221,40.27149321266968,-0.7089339130724526,-2.153954802259883,1.133318100951438,-33.92023759015699,-48.47562421949105,-62.420979516239896
A_recovered_proxy_vr1.2,all,3,225,221,221,47.511312217194565,-0.3089311468534288,-0.22988505747125743,0.9052056371132083,-24.819686041578283,-33.04291154601111,-37.881309359529766
A_recovered_proxy_vr1.2,all,5,225,221,221,39.81900452488688,-0.8026001844053058,-1.1789851075565183,1.057939653238639,-27.70470937632584,-55.77714019858866,-57.578294697262386
A_recovered_proxy_vr1.2,all,8,225,221,221,40.27149321266968,-0.7089339130724526,-2.153954802259883,1.133318100951438,-33.92023759015699,-48.47562421949105,-62.420979516239896
D_pure_quant_vr1.2,2023,3,214,210,210,47.14285714285714,-0.402179301801125,-0.22314080271283454,0.8787317871789544,-24.819686041578283,-31.413235275656692,-35.902000510710344
D_pure_quant_vr1.2,2023,5,214,210,210,40.476190476190474,-0.908809285515102,-1.293061823870001,0.9863230096584642,-27.70470937632584,-58.97168902967728,-62.931208430115504
D_pure_quant_vr1.2,2023,8,214,210,210,40.95238095238095,-0.9701064192251495,-2.0601234685456715,1.010098870145697,-33.92023759015699,-58.69537821024422,-66.72796802385714
D_pure_quant_vr1.2,all,3,214,210,210,47.14285714285714,-0.402179301801125,-0.22314080271283454,0.8787317871789544,-24.819686041578283,-31.413235275656692,-35.902000510710344
D_pure_quant_vr1.2,all,5,214,210,210,40.476190476190474,-0.908809285515102,-1.293061823870001,0.9863230096584642,-27.70470937632584,-58.97168902967728,-62.931208430115504
D_pure_quant_vr1.2,all,8,214,210,210,40.95238095238095,-0.9701064192251495,-2.0601234685456715,1.010098870145697,-33.92023759015699,-58.69537821024422,-66.72796802385714
E_ablate_sector_vr1.2,2023,3,142,141,141,46.09929078014184,-0.30296307144225415,-0.3527336860670083,0.9753331450801508,-12.124582869855406,-14.595123067161042,-25.05112971113134
E_ablate_sector_vr1.2,2023,5,142,141,141,41.13475177304964,-0.7807803421128718,-0.9954751131221795,0.9940975225028976,-14.025003592470187,-38.45202821458427,-45.311500501077326
E_ablate_sector_vr1.2,2023,8,142,141,141,39.71631205673759,-1.1457240812279361,-2.4777006937561907,0.9598946922561525,-16.16611582123868,-38.289369787059144,-48.33638723637365
E_ablate_sector_vr1.2,all,3,142,141,141,46.09929078014184,-0.30296307144225415,-0.3527336860670083,0.9753331450801508,-12.124582869855406,-14.595123067161042,-25.05112971113134
E_ablate_sector_vr1.2,all,5,142,141,141,41.13475177304964,-0.7807803421128718,-0.9954751131221795,0.9940975225028976,-14.025003592470187,-38.45202821458427,-45.311500501077326
E_ablate_sector_vr1.2,all,8,142,141,141,39.71631205673759,-1.1457240812279361,-2.4777006937561907,0.9598946922561525,-16.16611582123868,-38.289369787059144,-48.33638723637365
E_ablate_inflow_vr1.2,2023,3,127,126,126,40.476190476190474,-1.2032228103184184,-1.02041877196265,0.7797409462108458,-24.819686041578283,-52.012538121170884,-52.074537425923886
E_ablate_inflow_vr1.2,2023,5,127,126,126,33.33333333333333,-2.1866200763261583,-2.5307881773398986,0.7125850325301328,-27.70470937632584,-72.26032458098676,-72.68437057465323
E_ablate_inflow_vr1.2,2023,8,127,126,126,27.77777777777778,-2.6322498796476097,-3.106190292119937,0.9075192384439537,-33.92023759015699,-72.79861203186181,-74.78816199116208
E_ablate_inflow_vr1.2,all,3,127,126,126,40.476190476190474,-1.2032228103184184,-1.02041877196265,0.7797409462108458,-24.819686041578283,-52.012538121170884,-52.074537425923886
